dan	d a n
kacamata	k a t͡ʃ a m a t a
membunuhnya	m ə m b u n u h ɲ a
menyatu	m ə ɲ a t u
sajak	s a d͡ʒ a k
salatiga	s a l a t i ɡ a
bon	b o n
celana	t͡ʃ ə l a n a
dam	d a m
laki	l a k i
langkah-langkah	l a ŋ k a h l a ŋ k a h
milisi	m i l i s i
molekuler	m o l ə k u l e r
penghalang	p ə ŋ h a l a ŋ
perancangan	p ə r a n t͡ʃ a ŋ a n
pln	p l n
pluto	p l u t o
religi	r e l i ɡ i
arung	a r u ŋ
kenangan	k ə n a ŋ a n
kep	k a e p e
konsekuensi	k o n s ə k u e n s i
memutar	m ə m u t a r
mukim	m u k i m
peraih	p ə r a i h
perusak	p ə r u s a k
probolinggo	p r o b o l i ŋ ɡ o
reruntuhan	r ə r u n t u h a n
ami	a m i
artistik	a r t i s t i k
bayu	b a j u
damaskus	d a m a s k u s
etnik	e t n i k
kencana	k ə n t͡ʃ a n a
rela	r e l a
terpecah	t ə r p ə t͡ʃ a h
aria	a r i a
futsal	f u t s a l
kapita	k a p i t a
kotoran	k o t o r a n
murid-murid	m u r i d m u r i d
polusi	p o l u s i
rawan	r a w a n
batin	b a t i n
malu	m a l u
melukai	m ə l u k a j
pemadam	p ə m a d a m
taat	t a a t
bermuatan	b ə r m u a t a n
berpengalaman	b ə r p ə ŋ a l a m a n
bersumpah	b ə r s u m p a h
buang	b u a ŋ
emosional	e m o s i o n a l
horizontal	h o r i z o n t a l
input	i n p u t
komering	k o m ə r i ŋ
rabu	r a b u
titi	t i t i
torpedo	t o r p e d o
basuki	b a s u k i
komunisme	k o m u n i s m ə
nafsu	n a f s u
peledak	p ə l ə d a k
anggrek	a ŋ ɡ r e ʔ
berkuda	b ə r k u d a
desainer	d e s a i n ə r
disatukan	d i s a t u k a n
diwariskan	d i w a r i s k a n
keterbatasan	k ə t ə r b a t a s a n
memuaskan	m ə m u a s k a n
pb	p e b e
pembacaan	p ə m b a t͡ʃ a a n
turis	t u r i s
inframerah	i n f r a m e r a h
pengaruhnya	p ə ŋ a r u h ɲ a
serigala	s ə r i ɡ a l a
tulungagung	t u l u ŋ a ɡ u ŋ
anarkis	a n a r k i s
elektro	e l e k t r o
kegelapan	k ə ɡ ə l a p a n
menimpa	m ə n i m p a
pemandu	p ə m a n d u
tersimpan	t ə r s i m p a n
berskala	b ə r s k a l a
desktop	d e s k t o p
eks	e k s
inspektur	i n s p e k t u r
jingga	d͡ʒ i ŋ ɡ a
kakawin	k a k a w i n
lawang	l a w a ŋ
tekstur	t e k s t u r
antropologi	a n t r o p o l o ɡ i
eka	e k a
firaun	f i r a u n
keberangkatan	k ə b ə r a ŋ k a t a n
membalap	m ə m b a l a p
pentas	p ə n t a s
pilih	p i l i h
samoa	s a m o a
tpi	t e p e i
daur	d a u r
kejaksaan	k ə d͡ʒ a k s a a n
mari	m a r i
restorasi	r e s t o r a s i
tayangan	t a j a ŋ a n
dirimu	d i r i m u
kemudahan	k ə m u d a h a n
mendeklarasikan	m ə n d e k l a r a s i k a n
singgah	s i ŋ ɡ a h
tarakan	t a r a k a n
trofi	t r o f i
winter	w i n t ə r
menanyakan	m ə n a ɲ a k a n
pewarna	p ə w a r n a
rap	r a p
tetangganya	t ə t a ŋ ɡ a ɲ a
bakau	b a k a w
dollar	d o l l a r
ensiklopedia	e n s i k l o p e d i a
gelas	ɡ ə l a s
maskot	m a s k o t
orangtuanya	o r a ŋ t u a ɲ a
pengadaan	p ə ŋ a d a a n
syukur	ʃ u k u r
berkulit	b ə r k u l i t
kernel	k e r n ə l
menduga	m ə n d u ɡ a
menyewa	m ə ɲ e w a
suamiku	s u a m i k u
yale	j a l e
acara-acara	a t͡ʃ a r a a t͡ʃ a r a
atlas	a t l a s
bersekutu	b ə r s ə k u t u
dalang	d a l a ŋ
kera	k ə r a
kidung	k i d u ŋ
novelis	n o v ə l i s
pengamanan	p ə ŋ a m a n a n
perlahan-lahan	p ə r l a h a n l a h a n
ronde	r o n d e
batman	b a t m a n
eksplisit	e k s p l i s i t
guardian	ɡ u a r d i a n
homo	h o m o
albumnya	a l b u m ɲ a
hd	h d
membelah	m ə m b ə l a h
menggambar	m ə ŋ ɡ a m b a r
momentum	m o m e n t u m
rekonstruksi	r e k o n s t r u k s i
seimbang	s ə i m b a ŋ
solok	s o l o k
degradasi	d e ɡ r a d a s i
ftv	f t v
kedung	k ə d u ŋ
membantah	m ə m b a n t a h
memburuk	m ə m b u r u k
observatorium	o b s ə r v a t o r i u m
penindasan	p ə n i n d a s a n
upeti	u p ə t i
budha	b u d h a
generator	ɡ e n ə r a t o r
hawa	h a w a
kara	k a r a
mangkat	m a ŋ k a t
mengesahkan	m ə ŋ e s a h k a n
pesaing	p ə s a i ŋ
pujangga	p u d͡ʒ a ŋ ɡ a
abstrak	a b s t r a k
berbakat	b ə r b a k a t
berkala	b ə r k a l a
building	b u i l d i ŋ
diperingati	d i p ə r i ŋ a t i
htm	h t m
hui	h u i
lembaga-lembaga	l ə m b a ɡ a l ə m b a ɡ a
lini	l i n i
membenci	m ə m b ə n t͡ʃ i
mengutamakan	m ə ŋ u t a m a k a n
peliharaan	p ə l i h a r a a n
talk	t a l k
ve	v e
aparat	a p a r a t
bea	b e a
hi	h a i
kedudukannya	k ə d u d u k a n ɲ a
melestarikan	m ə l e s t a r i k a n
olah	o l a h
rafael	r a f a e l
rongga	r o ŋ ɡ a
sekumpulan	s ə k u m p u l a n
batubara	b a t u b a r a
buka	b u k a
corak	t͡ʃ o r a k
dominika	d o m i n i k a
kelinci	k ə l i n t͡ʃ i
pemecahan	p ə m ə t͡ʃ a h a n
perkemahan	p e r k e m a h a n
syaikh	ʃ a i x
tinjauan	t i n d͡ʒ a w a n
altar	a l t a r
antartika	a n t a r t i k a
bolaang	b o l a a ŋ
diketuai	d i k ə t u a i
opini	o p i n i
pantun	p a n t u n
penyusun	p ə ɲ u s u n
slot	s l o t
wo	w o
amfibi	a m f i b i
ditempati	d i t ə m p a t i
indie	i n d i ə
pengisian	p ə ŋ i s i a n
tugas-tugas	t u ɡ a s t u ɡ a s
berakibat	b ə r a k i b a t
berau	b ə r a w
berkarya	b ə r k a r j a
bpd	b e p e d e
gurunya	ɡ u r u ɲ a
hidrokarbon	h i d r o k a r b o n
iain	i a i n
investigasi	i n v e s t i ɡ a s i
lp	e l p e
mekar	m ə k a r
menyeluruh	m ə ɲ ə l u r u h
pewayangan	p ə w a j a ŋ a n
sebastian	s ə b a s t i a n
argo	a r ɡ o
auto	a u t o
diferensial	d i f e r e n s i a l
haram	h a r a m
iberia	i b ə r i a
memperjuangkan	m ə m p ə r d͡ʒ u a ŋ k a n
musibah	m u s i b a h
sarawak	s a r a w a ʔ
tabanan	t a b a n a n
trem	t r ə m
imperial	i m p e r i a l
menayangkan	m ə n a j a ŋ k a n
mengolah	m ə ŋ o l a h
pucuk	p u t͡ʃ u k
telanjang	t ə l a n d͡ʒ a ŋ
ketergantungan	k ə t ə r ɡ a n t u ŋ a n
angkot	a ŋ k o t
belakangnya	b ə l a k a ŋ ɲ a
dilangsungkan	d i l a ŋ s u ŋ k a n
eksis	e k s i s
entri	e n t r i
got	ɡ o t
kekerabatan	k ə k ə r a b a t a n
magnesium	m a ɡ n e s i u m
manuskrip	m a n u s k r i p
monopoli	m o n o p o l i
pengebom	p ə ŋ ə b o m
perceraian	p ə r t͡ʃ ə r a i a n
rabi	r a b i
rugi	r u ɡ i
selebihnya	s ə l ə b i h ɲ a
vakum	v a k u m
mengerahkan	m ə ŋ ə r a h k a n
mohamad	m o h a m a d
penyediaan	p ə ɲ ə d i a a n
quraisy	k u r a i ʃ
sesat	s ə s a t
singkong	s i ŋ k o ŋ
anorganik	a n o r ɡ a n i k
binjai	b i n d͡ʒ a j
fondasi	f o n d a s i
kasi	k a s i
kerajaannya	k ə r a d͡ʒ a a n ɲ a
manggarai	m a ŋ ɡ a r a j
motivasi	m o t i v a s i
sidomulyo	s i d o m u l j o
dipelihara	d i p ə l i h a r a
duke	d u k e
mendapati	m ə n d a p a t i
penerjemah	p ə n ə r d͡ʒ ə m a h
perawat	p ə r a w a t
tembang	t ə m b a ŋ
wide	w i d ə
asma	a s m a
canadian	t͡ʃ a n a d i a n
ce	t͡ʃ e
dianjurkan	d i a n d͡ʒ u r k a n
litium	l i t i u m
mendaftar	m ə n d a f t a r
mendidik	m ə n d i d i k
studinya	s t u d i ɲ a
sungai-sungai	s u ŋ a j s u ŋ a j
toilet	t o j l e t
unggas	u ŋ ɡ a s
zimbabwe	z i m b a b w e
berdampingan	b ə r d a m p i ŋ a n
dibudidayakan	d i b u d i d a j a k a n
guatemala	ɡ u a t ə m a l a
images	i m a ɡ e s
mancanegara	m a n t͡ʃ a n ə ɡ a r a
menempel	m ə n ə m p ə l
perorangan	p ə r o r a ŋ a n
survey	s u r v e j
teror	t ə r o r
badung	b a d u ŋ
fatal	f a t a l
hoki	h o k i
jejaring	d͡ʒ ə d͡ʒ a r i ŋ
kurdi	k u r d i
mai	m a j
nyonya	ɲ o ɲ a
perancis	p ə r a n t͡ʃ i s
abbasiyah	a b b a s i j a h
baker	b a k ə r
balas	b a l a s
berakar	b ə r a k a r
dikabarkan	d i k a b a r k a n
eksemplar	e k s ə m p l a r
kecap	k e t͡ʃ a p
pedas	p ə d a s
pembicara	p ə m b i t͡ʃ a r a
tangki	t a ŋ k i
antibodi	a n t i b o d i
austin	a u s t i n
bukittinggi	b u k i t t i ŋ ɡ i
disamakan	d i s a m a k a n
dosis	d o s i s
ekstrakurikuler	e k s t r a k u r i k u l e r
majemuk	m a d͡ʒ ə m u ʔ
mencabut	m ə n t͡ʃ a b u t
pgri	p ɡ r i
sambungan	s a m b u ŋ a n
tersangka	t ə r s a ŋ k a
fusi	f u s i
gayo	ɡ a j o
kodepos	k o d e p o s
kontras	k o n t r a s
mumbai	m u m b a j
palawija	p a l a w i d͡ʒ a
rri	e r e r i
teras	t e r a s
berjalannya	b ə r d͡ʒ a l a n ɲ a
bermesin	b ə r m e s i n
lam	l a m
menelan	m ə n ə l a n
mol	m o l
pangdam	p a ŋ d a m
perburuan	p ə r b u r u a n
sahara	s a h a r a
warganya	w a r ɡ a ɲ a
impian	i m p i a n
melukis	m ə l u k i s
mempercayai	m ə m p ə r t͡ʃ a j a i
praja	p r a d͡ʒ a
relevan	r e l ə v a n
bei	b e e i
bersahabat	b ə r s a h a b a t
dahlan	d a h l a n
gembira	ɡ ə m b i r a
gerbong	ɡ ə r b o ŋ
harganya	h a r ɡ a ɲ a
kemiri	k ə m i r i
mah	m a h
were	w e r e
android	a n d r o i d
bayan	b a j a n
dekret	d ə k r e t
diberhentikan	d i b ə r h ə n t i k a n
dihiasi	d i h i a s i
gatot	ɡ a t o t
liburan	l i b u r a n
menaiki	m ə n a i k i
sesepuh	s ə s ə p u h
utara-tengah	u t a r a t ə ŋ a h
adrian	a d r i a n
angkut	a ŋ k u t
fundamental	f u n d a m e n t a l
globalisasi	ɡ l o b a l i s a s i
kapitalisme	k a p i t a l i s m ə
karate	k a r a t e
okinawa	o k a i n a w a
parameter	p a r a m e t ə r
perjamuan	p ə r d͡ʒ a m u a n
redaksi	r ə d a k s i
torium	t o r i u m
vista	v i s t a
bos	b o s
diasingkan	d i a s i ŋ k a n
dimilikinya	d i m i l i k i ɲ a
helen	h ə l e n
imun	i m u n
kompetensi	k o m p ə t e n s i
memberitahukan	m ə m b ə r i t a h u k a n
musi	m u s i
rindu	r i n d u
sedan	s ə d a n
tercapai	t ə r t͡ʃ a p a j
amd	a m d
bertema	b ə r t ə m a
kosovo	k o s o v o
kuah	k u a h
produktivitas	p r o d u k t i v i t a s
barulah	b a r u l a h
cikarang	t͡ʃ i k a r a ŋ
dinikmati	d i n i k m a t i
khmer	x m e r
korem	k o r ə m
menantu	m ə n a n t u
milyar	m i l j a r
napas	n a p a s
pemikir	p ə m i k i r
program-program	p r o ɡ r a m p r o ɡ r a m
reporter	r e p o r t ə r
bahari	b a h a r i
hussein	h u s s e j n
imlek	i m l e k
keragaman	k ə r a ɡ a m a n
mb	m b
milenium	m i l ə n i u m
rahim	r a h i m
saksi-saksi	s a k s i s a k s i
gb	ɡ b
kang	k a ŋ
menggali	m ə ŋ ɡ a l i
menjangkau	m ə n d͡ʒ a ŋ k a w
muridnya	m u r i d ɲ a
mus	m u s
oral	o r a l
sebaiknya	s ə b a j k ɲ a
stie	s t i ə
enggan	ə ŋ ɡ a n
interaktif	i n t ə r a k t i f
liberia	l i b e r i a
nascar	n a s t͡ʃ a r
pikir	p i k i r
platina	p l a t i n a
sembuh	s ə m b u h
tumpang	t u m p a ŋ
ditimbulkan	d i t i m b u l k a n
eksperimental	e k s p e r i m e n t a l
hunter	h u n t e r
kabut	k a b u t
kekal	k ə k a l
mengonsumsi	m ə ŋ o n s u m s i
operasinya	o p ə r a s i ɲ a
optimal	o p t i m a l
pemerkosaan	p ə m ə r k o s a ʔ a n
penyangga	p ə ɲ a ŋ ɡ a
betapa	b ə t a p a
disiapkan	d i s i a p k a n
genteng	ɡ ə n t e ŋ
hara	h a r a
pompa	p o m p a
ringkasan	r i ŋ k a s a n
saga	s a ɡ a
sensitif	s ə n s i t i f
yoga	j o ɡ a
abdi	a b d i
bavaria	b a v a r i a
bias	b i a s
budapest	b u d a p e s t
cap	t͡ʃ a p
enak	e n a k
interval	i n t ə r v a l
kabisat	k a b i s a t
kenegaraan	k ə n ə ɡ a r a a n
maksudnya	m a k s u d ɲ a
metana	m e t a n a
mprs	m p r s
posyandu	p o s j a n d u
railway	r a i l w a j
terakreditasi	t ə r a k r ə d i t a s i
austronesia	a u s t r o n e s i a
baltik	b a l t i k
biksu	b i k s u
diculik	d i t͡ʃ u l i k
fotografer	f o t o ɡ r a f ə r
keunikan	k e u n i k a n
liputan	l i p u t a n
mahaputera	m a h a p u t ə r a
pemasok	p ə m a s o k
pementasan	p ə m e n t a s a n
selasa	s ə l a s a
semester	s ə m e s t ə r
berkomentar	b ə r k o m e n t a r
bisbol	b i s b o l
didedikasikan	d i d ə d i k a s i k a n
eko	e k o
jamaika	d͡ʒ a m a i k a
keinginannya	k ə ʔ i ŋ i n a n ɲ a
keluarnya	k ə l u a r ɲ a
kompetitif	k o m p ə t i t i f
kusuma	k u s u m a
mencatatkan	m ə n t͡ʃ a t a t k a n
mengerikan	m ə ŋ ə r i k a n
miliki	m i l i k i
pendingin	p ə n d i ŋ i n
pengemudi	p ə ŋ ə m u d i
slavia	s l a v i a
berjangka	b ə r d͡ʒ a ŋ k a
ekonomis	e k o n o m i s
homoseksual	h o m o s ə k s u a l
kronis	k r o n i s
matanya	m a t a ɲ a
mengharapkan	m ə ŋ h a r a p k a n
partai-partai	p a r t a j p a r t a j
pencemaran	p ə n t͡ʃ ə m a r a n
pendahulu	p ə n d a h u l u
sms	e s e m e s
ziarah	z i a r a h
akademis	a k a d ə m i s
genting	ɡ ə n t i ŋ
huda	h u d a
ilustrasi	i l u s t r a s i
kaukasus	k a u k a s u s
memberlakukan	m ə m b ə r l a k u k a n
memfasilitasi	m ə m f a s i l i t a s i
sewa	s e w a
bangunan-bangunan	b a ŋ u n a n b a ŋ u n a n
bercampur	b ə r t͡ʃ a m p u r
cukai	t͡ʃ u k a j
magnetik	m a ɡ n e t i k
mandailing	m a n d a i l i ŋ
statistika	s t a t i s t i k a
teks-teks	t e k s t e k s
terbilang	t ə r b i l a ŋ
transjakarta	t r a n s d͡ʒ a k a r t a
untuknya	u n t u ʔ ɲ a
akut	a k u t
bengkalis	b ə ŋ k a l i s
daerahnya	d a e r a h ɲ a
haruslah	h a r u s l a h
indosat	i n d o s a t
ingatan	i ŋ a t a n
marine	m a r i n ə
menginvasi	m ə ŋ i n v a s i
musiman	m u s i m a n
pengorbanan	p ə ŋ o r b a n a n
rintisan	r i n t i s a n
rise	r i s ə
wajar	w a d͡ʒ a r
ajaran-ajaran	a d͡ʒ a r a n a d͡ʒ a r a n
kibor	k i b o r
perkasa	p ə r k a s a
renaisans	r ə n a j s a n s
sepertinya	s ə p ə r t i ɲ a
tulisannya	t u l i s a n ɲ a
anatolia	a n a t o l i a
keilmuan	k ə i l m u a n
kurva	k u r v a
penguin	p e ŋ u i n
penunjang	p ə n u n d͡ʒ a ŋ
slank	s l a n k
taksonomi	t a k s o n o m i
tomat	t o m a t
wajo	w a d͡ʒ o
arang	a r a ŋ
bengkel	b e ŋ k e l
ditemukannya	d i t e m u k a n ɲ a
imbalan	i m b a l a n
pakta	p a k t a
penghancuran	p ə ŋ h a n t͡ʃ u r a n
rrt	r r t
selang	s ə l a ŋ
sim	s i m
tangguh	t a ŋ ɡ u h
terburuk	t ə r b u r u k
bergantian	b ə r ɡ a n t i a n
brahmana	b r a h m a n a
dilepas	d i l ə p a s
etiopia	e t i o p i a
keperawatan	k ə p ə r a w a t a n
madison	m a d i s o n
megawati	m e ɡ a w a t i
memikirkan	m ə m i k i r k a n
mengorbankan	m ə ŋ o r b a n k a n
sekian	s ə k i a n
weda	w ə d a
atletik	a t l ə t i k
datangnya	d a t a ŋ ɲ a
membina	m ə m b i n a
penegakan	p ə n ə ɡ a k a n
kerang	k e r a ŋ
daunnya	d a u n ɲ a
memperpanjang	m ə m p ə r p a n d͡ʒ a ŋ
plan	p l a n
ppp	p e p e p e
terkaya	t ə r k a j a
agenda	a ɡ e n d a
audit	a u d i t
diabaikan	d i a b a j k a n
membiayai	m ə m b i a j a j
menamakan	m ə n a m a k a n
nominal	n o m i n a l
sita	s i t a
suaka	s u a k a
tertanggal	t ə r t a ŋ ɡ a l
bersikeras	b ə r s i k ə r a s
cu	t͡ʃ u
kimiawi	k i m i a w i
komodo	k o m o d o
notaris	n o t a r i s
pemasangan	p ə m a s a ŋ a n
penegak	p ə n ə ɡ a k
penyu	p ə ɲ u
raga	r a ɡ a
utsman	u t s m a n
waris	w a r i s
diet	d i e t
kepemimpinannya	k ə p ə m i m p i n a n ɲ a
memuncak	m ə m u n t͡ʃ a k
mencolok	m ə n t͡ʃ o l o k
pengatur	p ə ŋ a t u r
rita	r i t a
antigen	a n t i ɡ e n
dahulunya	d a h u l u ɲ a
filosofis	f i l o s o f i s
konstruktor	k o n s t r u k t o r
lindung	l i n d u ŋ
mana-mana	m a n a m a n a
polinesia	p o l i n e s i a
ruu	e r u u
selangor	s ə l a n ɡ o r
alokasi	a l o k a s i
berjenis	b ə r d͡ʒ ə n i s
kaidah	k a i d a h
komuter	k o m u t ə r
merak	m ə r a k
penarikan	p ə n a r i k a n
sebentar	s ə b ə n t a r
stroke	s t r o k e
asuhan	a s u h a n
feri	f e r i
kerupuk	k ə r u p u k
kijang	k i d͡ʒ a ŋ
pelantikan	p ə l a n t i k a n
pengangkutan	p ə ŋ a ŋ k u t a n
salak	s a l a k
semak	s e m a ʔ
sirkulasi	s i r k u l a s i
anggapan	a ŋ ɡ a p a n
jubah	d͡ʒ u b a h
kuru	k u r u
pecinta	p ə t͡ʃ i n t a
praktiknya	p r a k t i k ɲ a
spekulasi	s p e k u l a s i
spontan	s p o n t a n
zero	z e r o
atribut	a t r i b u t
bertenaga	b ə r t e n a ɡ a
nilainya	n i l a j ɲ a
sentuhan	s ə n t u h a n
beri	b e r i
dilanda	d i l a n d a
diperuntukkan	d i p ə r u n t u ʔ k a n
ditunda	d i t u n d a
durasi	d u r a s i
jang	j a ŋ
meresmikan	m ə r e s m i k a n
mushola	m u s h o l a
penyelamatan	p ə ɲ ə l a m a t a n
absolut	a b s o l u t
baginda	b a ɡ i n d a
bidan	b i d a n
bishop	b i s h o p
bisnisnya	b i s n i s ɲ a
depannya	d ə p a n ɲ a
kate	k a t ə
melingkar	m ə l i ŋ k a r
modul	m o d u l
pembahasan	p ə m b a h a s a n
didampingi	d i d a m p i ŋ i
guyana	ɡ u j a n a
humor	h u m o r
laris	l a r i s
lia	l i a
mendaftarkan	m ə n d a f t a r k a n
penyerapan	p ə ɲ ə r a p a n
semut	s ə m u t
tembak	t e m b a k
terbentang	t ə r b ə n t a ŋ
tercipta	t ə r t͡ʃ i p t a
boron	b o r o n
brigif	b r i ɡ i f
ditahbiskan	d i t a h b i s k a n
kuantitas	k u a n t i t a s
mad	m a d
merumuskan	m ə r u m u s k a n
pengoperasian	p ə ŋ o p ə r a s i a n
sekte	s e k t ə
sima	s i m a
terhenti	t ə r h ə n t i
kontingen	k o n t i ŋ e n
luka-luka	l u k a l u k a
mudanya	m u d a ɲ a
nanda	n a n d a
pecahnya	p ə t͡ʃ a h ɲ a
tandang	t a n d a ŋ
chandra	t͡ʃ h a n d r a
damar	d a m a r
diungkapkan	d i u ŋ k a p k a n
entah	ə n t a h
gaza	ɡ a z a
lembap	l ə m b a p
melompat	m ə l o m p a t
multinasional	m u l t i n a s i o n a l
penata	p ə n a t a
rinci	r i n t͡ʃ i
tanzania	t a n z a n i a
cl	t͡ʃ l
diangkut	d i a ŋ k u t
hibrida	h i b r i d a
katai	k a t a j
kawan	k a w a n
klad	k l a d
pekarangan	p e k a r a ŋ a n
pembela	p ə m b e l a
pesawat-pesawat	p ə s a w a t p ə s a w a t
satria	s a t r i a
talang	t a l a ŋ
bercocok	b ə r t͡ʃ o t͡ʃ o k
dipersembahkan	d i p ə r s ə m b a h k a n
ditutupi	d i t u t u p i
kerucut	k ə r u t͡ʃ u t
ketertiban	k ə t ə r t i b a n
memihak	m ə m i h a k
napoli	n a p o l i
panorama	p a n o r a m a
panti	p a n t i
pertiwi	p ə r t i w i
unta	u n t a
bermunculan	b ə r m u n t͡ʃ u l a n
diharuskan	d i h a r u s k a n
gilirannya	ɡ i l i r a n ɲ a
kuadrat	k u a d r a t
madagaskar	m a d a ɡ a s k a r
mendampingi	m ə n d a m p i ŋ i
mengabdi	m ə ŋ a b d i
suite	s u i t e
yudaisme	j u d a i s m ə
berkeliling	b ə r k ə l i l i ŋ
diperlakukan	d i p ə r l a k u k a n
gray	ɡ r a j
gu	ɡ u
kemendagri	k ə m ə n d a ɡ r i
khotbah	x o t b a h
kolese	k o l e s ə
naskah-naskah	n a s k a h n a s k a h
shinto	ʃ i n t o
syariat	ʃ a r i a t
terjebak	t ə r d͡ʒ ə b a k
abidin	a b i d i n
dipertimbangkan	d i p ə r t i m b a ŋ k a n
keberuntungan	k ə b ə r u n t u ŋ a n
keliru	k ə l i r u
penghujan	p ə ŋ h u d͡ʒ a n
sesudahnya	s ə s u d a h ɲ a
spesimen	s p e s i m e n
uin	u i n
berbalik	b ə r b a l i k
gita	ɡ i t a
khalayak	x a l a j a ʔ
reptil	r e p t i l
semata-mata	s ə m a t a m a t a
artefak	a r t ə f a k
baba	b a b a
jaka	d͡ʒ a k a
notes	n o t ə s
parlementer	p a r l ə m e n t e r
protagonis	p r o t a ɡ o n i s
siregar	s i r ə ɡ a r
vegetasi	v e ɡ ə t a s i
belalang	b ə l a l a ŋ
diajak	d i a d͡ʒ a ʔ
dilambangkan	d i l a m b a ŋ k a n
direkrut	d i r e k r u t
diutus	d i u t u s
memancarkan	m ə m a n t͡ʃ a r k a n
mother	m o t h e r
ombak	o m b a k
perwujudan	p ə r w u d͡ʒ u d a n
peternak	p ə t ə r n a k
ranting	r a n t i ŋ
takdir	t a k d i r
cita	t͡ʃ i t a
dipuji	d i p u d͡ʒ i
genom	ɡ e n o m
menular	m ə n u l a r
menunda	m ə n u n d a
piring	p i r i ŋ
saturnus	s a t u r n u s
kancah	k a n t͡ʃ a h
keguruan	k ə ɡ u r u a n
menghuni	m ə ŋ h u n i
penembakan	p ə n ə m b a k a n
progo	p r o ɡ o
sintetis	s i n t e t i s
aspal	a s p a l
berpakaian	b ə r p a k a i a n
candra	t͡ʃ a n d r a
disarankan	d i s a r a n k a n
diuji	d i u d͡ʒ i
dra	d r a
herodes	h e r o d e s
ilmu-ilmu	i l m u i l m u
lane	l a n e
senegal	s e n e ɡ a l
austria-hungaria	a u s t r i a h u ŋ a r i a
biarawan	b i a r a w a n
didirikannya	d i d i r i k a n ɲ a
disaksikan	d i s a k s i k a n
jung	d͡ʒ u ŋ
mandar	m a n d a r
melengkung	m ə l ə ŋ k u ŋ
mempermudah	m ə m p ə r m u d a h
nuansa	n u a n s a
penyesuaian	p ə ɲ ə s u a j a n
predikat	p r e d i k a t
timbulnya	t i m b u l ɲ a
layang	l a j a ŋ
logis	l o ɡ i s
pihak-pihak	p i h a k p i h a k
tersibuk	t ə r s i b u k
vampir	v a m p i r
aspirasi	a s p i r a s i
ditemani	d i t ə m a n i
ditentang	d i t ə n t a ŋ
keajaiban	k ə a d͡ʒ a i b a n
kebingungan	k ə b i ŋ u ŋ a n
rehabilitasi	r e h a b i l i t a s i
ambang	a m b a ŋ
ang	a ŋ
arsen	a r s e n
dibidang	d i b i d a ŋ
fonem	f o n e m
gam	ɡ a m
gao	ɡ a o
karir	k a r i r
proporsi	p r o p o r s i
rica	r i t͡ʃ a
spring	s p r i ŋ
adonan	a d o n a n
denda	d ə n d a
dijatuhi	d i d͡ʒ a t u h i
gerai	ɡ e r a j
hamparan	h a m p a r a n
hr	h r
induknya	i n d u k ɲ a
menyangkal	m ə ɲ a ŋ k a l
nara	n a r a
pahit	p a h i t
penginapan	p ə ŋ i n a p a n
petak	p e t a k
setimnya	s ə t i m ɲ a
staff	s t a f f
swadaya	s w a d a j a
amunisi	a m u n i s i
bak	b a k
fasis	f a s i s
ide-ide	i d e i d e
kaitannya	k a i t a n ɲ a
mahakam	m a h a k a m
mempersembahkan	m ə m p ə r s ə m b a h k a n
rupanya	r u p a ɲ a
tapin	t a p i n
diperbarui	d i p ə r b a r u i
ester	e s t ə r
kelembaban	k ə l ə m b a b a n
linda	l i n d a
low	l o w
membicarakan	m ə m b i t͡ʃ a r a k a n
menyembah	m ə ɲ ə m b a h
niger	n i ɡ ə r
rom	r o m
stres	s t r e s
usd	u s d
yurisdiksi	j u r i s d i k s i
buana	b u a n a
digoreng	d i ɡ o r e ŋ
dijatuhkan	d i d͡ʒ a t u h k a n
hop	h o p
memusatkan	m ə m u s a t k a n
muna	m u n a
pertikaian	p ə r t i k a i a n
berdaya	b ə r d a j a
dicari	d i t͡ʃ a r i
dilintasi	d i l i n t a s i
kit	k i t
palm	p a l m
penayangan	p ə n a j a ŋ a n
penyembuhan	p ə ɲ ə m b u h a n
pra	p r a
praha	p r a h a
superman	s u p ə r m a n
brigadir	b r i ɡ a d i r
dublin	d u b l i n
genosida	ɡ e n o s i d a
had	h a t
ketertarikan	k ə t ə r t a r i k a n
memperbolehkan	m ə m p ə r b o l e h k a n
perihal	p ə r i h a l
rob	r o b
tasmania	t a s m a n i a
vihara	v i h a r a
beruntung	b ə r u n t u ŋ
fungi	f u ŋ i
getah	ɡ ə t a h
getaran	ɡ ə t a r a n
harahap	h a r a h a p
jamaah	d͡ʒ a m a a h
kesetaraan	k ə s e t a r a a n
marcus	m a r t͡ʃ u s
pepohonan	p e p o h o n a n
ramalan	r a m a l a n
terjadilah	t ə r d͡ʒ a d i l a h
agama-agama	a ɡ a m a a ɡ a m a
banjarsari	b a n d͡ʒ a r s a r i
gulungan	ɡ u l u ŋ a n
hobi	h o b i
ibadat	i b a d a t
pakuan	p a k u a n
patut	p a t u t
reaktif	r e a k t i f
solid	s o l i d
sopir	s o p i r
asahan	a s a h a n
berkonsentrasi	b ə r k o n s e n t r a s i
dipecah	d i p ə t͡ʃ a h
guevara	ɡ w e v a r a
karunia	k a r u n i a
kei	k ə i
kilogram	k i l o ɡ r a m
memfokuskan	m ə m f o k u s k a n
militernya	m i l i t ə r ɲ a
pembaharuan	p ə m b a h a r u a n
penambangan	p ə n a m b a ŋ a n
produknya	p r o d a k ɲ a
ris	r i s
banjarbaru	b a n d͡ʒ a r b a r u
dibaptis	d i b a p t i s
